Standing Pedestrian Blockage,Standing Pedestrian Frequency,Parked Car Blockage,Parked Car Frequency
0.21,1,0.7,1
0.38,4,0.73,2
0.42,1,0.78,1
0.42,2,0.92,1
0.44,3,1.1,2
0.46,2,1.1,1
0.5,7,1.1,1
0.5,1,1.1,1
0.53,1,1.17,4
0.55,2,1.19,1
0.56,2,1.38,1
0.56,2,1.38,1
0.59,1,1.38,1
0.61,1,1.38,1
0.69,4,1.5,1
0.73,2,1.56,2
0.75,2,1.58,1
0.75,8,1.7,2
0.75,2,1.73,2
0.75,12,1.73,2
0.78,3,1.75,1
0.81,1,1.75,1
0.83,2,1.75,2
0.83,1,1.78,1
0.83,3,1.8,2
0.83,1,1.8,1
0.88,1,1.8,2
0.92,9,1.82,2
0.92,1,1.82,3
0.92,4,1.83,3
0.93,1,1.83,1
0.94,1,1.83,1
0.97,1,1.83,1
0.97,2,1.83,1
1,1,1.83,2
1,8,1.83,1
1.08,1,1.83,7
1.1,1,1.83,1
1.1,1,1.83,1
1.1,1,1.94,1
1.1,1,1.94,2
1.1,2,2,1
1.13,1,2,1
1.13,5,2,3
1.13,5,2,1
1.25,1,2,3
1.25,1,2,5
1.25,1,2,1
1.35,3,2,3
1.38,1,2,4
1.38,1,2,1
1.38,1,2,2
1.38,3,2,1
1.38,1,2,3
1.38,2,2,1
1.38,1,2,4
1.38,2,2,2
1.5,2,2,2
1.5,1,2.03,2
1.56,4,2.03,1
1.62,1,2.08,1
1.63,1,2.08,1
1.75,1,2.08,2
1.75,1,2.08,4
1.75,7,2.1,1
1.75,1,2.1,3
1.8,4,2.1,1
1.83,2,2.1,2
1.83,1,2.1,1
1.83,2,2.17,1
1.83,2,2.17,4
1.83,1,2.19,3
1.88,1,2.19,4
1.92,1,2.2,4
1.94,2,2.2,5
1.94,8,2.2,2
2,2,2.2,1
2,1,2.2,1
2,1,2.2,3
2,3,2.2,1
2.1,1,2.2,3
2.2,1,2.2,2
2.2,5,2.2,2
2.2,2,2.2,3
2.2,3,2.2,1
2.25,1,2.22,3
2.25,1,2.25,1
2.25,2,2.25,1
2.25,3,2.33,1
2.33,2,2.38,1
2.33,1,2.4,2
2.38,2,2.4,2
2.4,1,2.5,1
2.5,3,2.5,1
2.5,2,2.5,2
2.58,3,2.5,3
2.75,4,2.5,2
2.75,1,2.5,1
2.75,2,2.5,6
2.75,1,2.6,1
2.8,2,2.6,2
2.88,2,2.6,1
3,2,2.75,2
3,1,2.75,1
3,1,2.75,1
3,3,2.75,1
3.1,4,2.75,3
3.1,1,2.75,1
3.1,1,2.75,2
3.13,2,2.75,4
3.24,1,2.8,9
3.25,3,2.9,3
3.5,1,2.9,2
3.5,1,3,1
3.5,1,3,1
3.5,2,3,4
3.67,2,3.1,4
3.67,1,3.1,1
3.67,1,3.1,3
3.75,4,3.1,2
3.88,2,3.1,1
3.88,1,3.1,6
4.17,1,3.13,1
5.5,1,3.13,4
6,1,3.13,2
,,3.13,2
,,3.17,2
,,3.25,1
,,3.33,1
,,3.33,3
,,3.5,1
,,3.5,7
,,3.5,2
,,3.5,2
,,3.5,1
,,3.5,1
,,3.5,1
,,3.5,3
,,3.5,3
,,3.5,1
,,3.63,3
,,3.67,1
,,3.67,2
,,3.67,1
,,3.67,1
,,3.67,6
,,3.67,2
,,3.75,1
,,3.75,3
,,3.88,1
,,3.88,4
,,3.88,4
,,4,2
,,4.05,1
,,4.17,2
,,4.33,1
,,4.5,1
,,4.5,8
,,4.67,1
,,4.67,2
,,5,1
,,5.17,1
,,6,1
,,6,1
