Walking Pedestrian,Standing Pedestrian,Parked Car,New Parked Car
7,3.5,4.67,0.21
7,3.5,3.5,0.38
2.8,3.25,3.5,0.42
2.8,1.5,3.5,0.42
1.44,2.4,4.33,0.44
1.44,3,2.6,0.46
3.13,2.5,3.25,0.5
2.5,3.1,2.4,0.5
1.81,3.1,3.13,0.53
3.1,3.88,3.13,0.55
1.9,3.88,3.13,0.56
1.29,3.1,3,0.56
3.88,3.75,2.9,0.59
3.88,1.35,2.9,0.61
3.38,3.24,3.63,0.69
5.83,2.25,1.94,0.73
2.19,2.25,3.1,0.75
1.09,3.6,3.17,0.75
5.17,2.8,3.1,0.75
3.88,3.5,3.1,0.75
3.88,2.33,3.1,0.78
3.88,1.25,3.88,0.81
3.88,0.83,3.88,0.83
3.88,0.83,3.5,0.83
5.17,0.59,5,0.83
3.75,0.83,2.19,0.83
3.75,2.5,3.5,0.88
2.6,2,3.88,0.92
1.63,4.17,3.1,0.92
1.35,3,3,0.92
3.24,2,3.75,0.93
2.03,2,2.6,0.94
4.5,1.38,2.6,0.97
6,1.08,4.05,0.97
4.5,2.25,2.03,1
4.5,2.75,6,1
6,2.38,4.5,1.08
2.25,2.75,6,1.1
3.6,1.38,3.1,1.1
1.29,1.25,3.88,1.1
5.17,1.88,5.17,1.1
3.88,3,2.8,1.1
7.75,1.38,4.67,1.13
5.17,1.1,3.5,1.13
7,1.83,2.5,1.13
4.67,5.5,2,1.25
3.5,1.83,2,1.25
4.67,1.83,2.38,1.25
1.17,0.92,1.19,1.35
1.67,1.38,2.1,1.38
5,2.75,2,1.38
3.33,2.2,2.1,1.38
2.5,3.67,2.1,1.38
2.5,3.67,2.5,1.38
0.95,2.2,1.8,1.38
0.95,3.67,2,1.38
2.38,2.75,2,1.38
1.9,2.2,2,1.5
1.19,1.83,2,1.5
1.25,1.38,2,1.56
1.25,1.38,3.5,1.62
2.63,0.56,1.75,1.63
2.1,2.25,2.25,1.75
2.5,3.5,3.13,1.75
2.25,2.1,2.5,1.75
1.5,1.75,2.5,1.75
1.13,1.75,2.08,1.8
2.33,1.92,2.08,1.83
3.13,2.88,4,1.83
3.13,1.1,4,1.83
2.5,1.75,2.5,1.83
1.2,0.75,1.82,1.83
1.67,,2.08,1.88
0.81,,4.17,1.92
3.38,,1.1,1.94
3.38,,0.7,1.94
1.35,,2,2
1.38,,1.5,2
1.5,,1.58,2
2.75,,0.69,2
3.67,,2.2,2.1
2.75,,2.75,2.2
3.75,,1.83,2.2
1.5,,2.2,2.2
1.88,,3.75,2.2
2.5,,3,2.25
1.88,,3.5,2.25
1.75,,3.5,2.25
3.5,,4.67,2.25
1.13,,2.2,2.33
4,,2.2,2.33
1.38,,3.67,2.38
2.2,,3.67,2.4
5.5,,1.38,2.5
1.1,,2.2,2.5
1.1,,2.75,2.58
0.92,,3.67,2.75
3.67,,2.2,2.75
1.38,,2.2,2.75
3.67,,2.75,2.75
2.2,,2.75,2.8
3.67,,3.67,2.88
2.75,,2.2,3
3.67,,3.67,3
2.75,,3.67,3
2.2,,2.75,3
1.38,,1.83,3.1
2.75,,2.2,3.1
5.5,,1.83,3.1
1.1,,2.2,3.13
2.2,,2.75,3.24
2.2,,1.38,3.25
2.75,,1.38,3.5
3.67,,1.1,3.5
1.83,,1.83,3.5
2.75,,1.83,3.5
1.38,,1.1,3.67
3.67,,2.2,3.67
2.75,,1.1,3.67
3.67,,1.83,3.75
2.75,,1.83,3.88
1.83,,3.33,3.88
1.83,,2,4.17
3.67,,2.5,5.5
2.2,,2,6
3.67,,2.5,
2.2,,2,
1.1,,2.25,
1.1,,2.4,
1.1,,2.22,
0.92,,2,
1.38,,3.33,
1.1,,2.1,
2.75,,1.75,
3.67,,1.7,
2.2,,1.8,
2.75,,1.73,
2.2,,1.73,
5.5,,2.17,
3.67,,2.2,
2.5,,2.75,
2,,2.1,
3.33,,,
3.33,,,
3,,,
1,,,
2.25,,,
4.5,,,
2.25,,,
2.75,,,
2.4,,,
2.5,,,
2.5,,,
1.25,,,
1.05,,,
1.13,,,
1.08,,,
1.63,,,
3.29,,,
2.3,,,
2.75,,,
3.5,,,
0.75,,,
1,,,
0.88,,,
